MSU	logFC	adj.p.value	RAP	Name	Description	Type	SYMBOL	ENTREZ	RAP.description	RAP.name	RAP.synonym	CGSNL.symbol	CGSNL.name	Oryzabase.name	Oryzabase.synonym	Oryzabase.protein	AM_gene_description	AM_gene_otherinfo	NCBI.Name	GO.term	GO.name
LOC_Os01g37910	1.105442958976073	3.7712288345563715e-28	Os01g0559600	OsVPE2	Similar to C13 endopeptidase NP1 precursor	protein_coding	LOC4324683	4324683	Similar to Asparaginyl endopeptidase.	NA	NA	NA	NA	OsVPE2, OsaLeg1, OsLeg1, Leg1	vacuolar processing enzyme 2, legumain 1	VACUOLAR PROCESSING ENZYME 2	NA	NA	vacuolar-processing enzyme	GO:0008233, GO:0006508, GO:0016787, GO:0110165, GO:0051603, GO:0004197, GO:0005773, GO:0006624, GO:0000323	peptidase activity, proteolysis, hydrolase activity, cellular anatomical entity, proteolysis involved in protein catabolic process, cysteine-type endopeptidase activity, vacuole, vacuolar protein processing, lytic vacuole
LOC_Os04g43760	0.8408009791191099	3.8338397229019735e-28	Os04g0518100	OsPAL02	Phenylalanine ammonia-lyase	protein_coding	LOC9271676	9271676	Phenylalanine ammonia-lyase.	NA	NA	NA	NA	OsPAL02, PAL02, OsPAL5, PAL5, OsPAL2. PAL2, OsPAL1	Phenylalanine ammonia-lyase 02	NA	NA	NA	phenylalanine ammonia-lyase-like	GO:0006559, GO:0016841, GO:0005737, GO:0009800, GO:0045548, GO:0003824, GO:0016829, GO:0009698, GO:0009058, GO:0002213, GO:0006952, GO:0050832	L-phenylalanine catabolic process, ammonia-lyase activity, cytoplasm, cinnamic acid biosynthetic process, phenylalanine ammonia-lyase activity, catalytic activity, lyase activity, phenylpropanoid metabolic process, biosynthetic process, defense response to insect, defense response, defense response to fungus
LOC_Os09g20220	3.594220060564193	5.595863852942862e-28	Os09g0367700	OsGSTU5	Similar to GST6 protein (EC 2.5.1.18)	protein_coding	LOC4346877	4346877	Tau class glutathione S-transferase, Tolerance against sheath blight disease	OsGSTU5	tau class glutathione S-transferase 5	GSTU5	TAU GLUTATHIONE S-TRANSFERASE 5	OsGSTU5	tau class glutathione S-transferase 5, glutathione transferase U5	TAU GLUTATHIONE S-TRANSFERASE 5	NA	NA	probable glutathione S-transferase GSTU1	GO:0006749, GO:0004364, GO:0005737, GO:0016740, GO:0042221, GO:0005515, GO:0006952, GO:0006979, GO:0009407, GO:0010038, GO:0010288, GO:0046685, GO:0046686	glutathione metabolic process, glutathione transferase activity, cytoplasm, transferase activity, response to chemical, protein binding, defense response, response to oxidative stress, toxin catabolic process, response to metal ion, response to lead ion, response to arsenic-containing substance, response to cadmium ion
LOC_Os08g44270	1.6992672377950693	6.587295141265777e-28	Os08g0556900	CP	Similar to Cysteine proteinase (EC 3.4.22.-)	protein_coding	LOC4346292	4346292	Similar to Cysteine proteinase (EC 3.4.22.-).	NA	NA	NA	NA	CP, OsSAG12-2, SAG12-2	Cys protease, cysteine protease, senescence-associated gene 12-2	_	NA	NA	KDEL-tailed cysteine endopeptidase CEP1	GO:0008234, GO:0008233, GO:0006508, GO:0016787, GO:0051603, GO:0005615, GO:0004197, GO:0005764, GO:0008219, GO:0009411, GO:0009651, GO:0010150	cysteine-type peptidase activity, peptidase activity, proteolysis, hydrolase activity, proteolysis involved in protein catabolic process, extracellular space, cysteine-type endopeptidase activity, lysosome, cell death, response to UV, response to salt stress, leaf senescence
LOC_Os08g44270	1.6992672377950693	6.587295141265777e-28	Os08g0556900	CP	Similar to Cysteine proteinase (EC 3.4.22.-)	protein_coding	LOC4346292	4346292	Similar to Vignain.	NA	NA	NA	NA	CP, OsSAG12-2, SAG12-2	Cys protease, cysteine protease, senescence-associated gene 12-2	_	NA	NA	KDEL-tailed cysteine endopeptidase CEP1	GO:0008234, GO:0008233, GO:0006508, GO:0016787, GO:0051603, GO:0005615, GO:0004197, GO:0005764, GO:0008219, GO:0009411, GO:0009651, GO:0010150	cysteine-type peptidase activity, peptidase activity, proteolysis, hydrolase activity, proteolysis involved in protein catabolic process, extracellular space, cysteine-type endopeptidase activity, lysosome, cell death, response to UV, response to salt stress, leaf senescence
LOC_Os05g41610	0.8784262006996262	1.3284029584569262e-27	Os05g0495900	Gns8	Similar to Beta-1,3-glucanase precursor (Fragment)	protein_coding	LOC4339201	4339201	Similar to Beta-1, 3-glucanase precursor (Fragment).	NA	NA	GNS8	BETA-1, 3-GLUCANASE 8	Gns8, OsGns8	beta-1, 3-glucanase 8	BETA-1,3-GLUCANASE 8	NA	NA	putative glucan endo-1,3-beta-glucosidase GVI	GO:0046658, GO:0005975, GO:0004553, GO:0016787, GO:0016798, GO:0008152, GO:0003824, GO:0043169, GO:0005618, GO:0005773, GO:0005886, GO:0009409, GO:0009617, GO:0009651, GO:0009817, GO:0048046	NA
LOC_Os05g06720	0.7858992009404283	2.1674579618520872e-27	Os05g0159300	OsGELP62	Similar to Alpha-L-fucosidase 2	protein_coding	LOC4337879	4337879	Similar to Alpha-L-fucosidase 2.	NA	NA	GELP62	GDSL ESTERASE/LIPASE PROTEIN 62	OsGELP62, OsGELP62a, OsGELP62b, OsGELP62c, DARX1, OsDARX1	GDSL esterase/lipase protein 62, DEACETYLASE ON ARABINOSYL SIDECHAIN OF XYLAN1	GDSL ESTERASE/LIPASE PROTEIN 62	NA	NA	GDSL esterase/lipase At1g09390	GO:0016788, GO:0005794, GO:0009834, GO:0016787	hydrolase activity, acting on ester bonds, Golgi apparatus, plant-type secondary cell wall biogenesis, hydrolase activity
LOC_Os05g06720	0.7858992009404283	2.1674579618520872e-27	Os05g0159300	OsGELP62	Similar to Alpha-L-fucosidase 2	protein_coding	LOC4337879	4337879	Arabinosyl deacetylase, GDSL esterase, Modulation of secondary wall formation	DARX1, GELP62	Deacetylase on Arabinosyl sidechain of Xylan1, GDSL esterase/lipase protein 62	GELP62	GDSL ESTERASE/LIPASE PROTEIN 62	OsGELP62, OsGELP62a, OsGELP62b, OsGELP62c, DARX1, OsDARX1	GDSL esterase/lipase protein 62, DEACETYLASE ON ARABINOSYL SIDECHAIN OF XYLAN1	GDSL ESTERASE/LIPASE PROTEIN 62	NA	NA	GDSL esterase/lipase At1g09390	GO:0016788, GO:0005794, GO:0009834, GO:0016787	hydrolase activity, acting on ester bonds, Golgi apparatus, plant-type secondary cell wall biogenesis, hydrolase activity
LOC_Os10g32810	1.8267951321515137	2.7973032744829042e-27	Os10g0465700	OsSTA246	Similar to Beta-amylase PCT-BMYI (EC 3.2.1.2)	protein_coding	LOC4348840	4348840	Similar to Beta-amylase PCT-BMYI (EC 3.2.1.2).	NA	NA	BAMY1	BETA-AMYLASE 1	OsSTA246, STA246, OsBamy1, Bamy1, BAM2, OsBAM2, OsBmy9, Bmy9, BMY5, OsBMY5	beta-amylase 1, Beta-amylase 2	BETA-AMYLASE 1	NA	NA	beta-amylase 1, chloroplastic-like	GO:0000272, GO:0016161, GO:0009507, GO:0102229, GO:0003824, GO:0005975, GO:0043169, GO:0009414, GO:0051707	polysaccharide catabolic process, beta-amylase activity, chloroplast, amylopectin maltohydrolase activity, catalytic activity, carbohydrate metabolic process, cation binding, response to water deprivation, response to other organism
LOC_Os04g30660	4.3588652585230685	3.535854286055667e-27	Os04g0375300	rNBS56	Similar to NBS-LRR protein (Fragment)	protein_coding	LOC112938814	112938814	Similar to NBS-LRR protein (Fragment).	NA	NA	NA	NA	rNBS56	NBS-LRR protein rNBS56	NA	NA	NA	putative disease resistance protein RGA3	GO:0043531, GO:0006952, GO:0051707	ADP binding, defense response, response to other organism
LOC_Os03g44540	1.4534554509394977	4.137932624716861e-27	Os03g0647600	OSHAP2H	Similar to Nf-Y-A subunit	protein_coding	LOC4333575	4333575	Similar to Nf-Y-A subunit.	NA	NA	HAP2H	HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX	OsHAP2H, NF-YA, CBF-B, NF-YA3, OsNF-YA3, NFYA3	NUCLEAR FACTOR-Y subunit A3, NUCLEAR FACTOR-Y subunit NF-YA3, NF-YA transcription factor 3, NF-YA subunit 3, NF-YA family 3	HAP2 SUBUNIT OF CCAAT-BOX BINDING COMPLEX	NA	NA	nuclear transcription factor Y subunit A-10	GO:0003700, GO:0006355, GO:0003677, GO:0005634, GO:0000981, GO:0006357, GO:0000978, GO:0006350, GO:0009753, GO:0009867, GO:0043565, GO:0051607	NA
LOC_Os06g39912	1.2021777233980167	5.842780622749342e-27	Os06g0601100	NA	Conserved hypothetical protein	protein_coding	LOC4341454	4341454	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized protein At1g15400	NA	NA
LOC_Os03g03260	1.771438559608703	6.690116918457684e-27	Os03g0124000	NA	Homeodomain-related domain containing protein	protein_coding	LOC4331452	4331452	Homeodomain-related domain containing protein.	NA	NA	NA	NA	OsHB22	homeobox protein 22, homeodomain transcription factor OsHB22	HOMEOBOX PROTEIN 22	NA	NA	homeobox protein BEL1 homolog	GO:0006355, GO:0003677, GO:0005634, GO:0000981, GO:0006357, GO:0000978, GO:0003700, GO:0005515, GO:0043565, GO:0009414	regulation of DNA-templated transcription, DNA binding, nucleus, DNA-binding transcription factor activity, RNA polymerase II-specific, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, protein binding, sequence-specific DNA binding, response to water deprivation
LOC_Os01g09880	0.8315474461749127	7.175876179499256e-27	Os01g0195400	NA	Harpin-induced 1 domain containing protein	protein_coding	LOC4327322	4327322	Harpin-induced 1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NDR1/HIN1-like protein 6	GO:0005886, GO:0016021, GO:0016020	plasma membrane, integral component of membrane, membrane
LOC_Os02g15860	2.0357130377682977	9.548885921734909e-27	Os02g0258800	NA	Conserved hypothetical protein	protein_coding	LOC4328929	4328929	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4328929	NA	NA
LOC_Os01g65080	1.2253466342555877	1.3474017530494713e-26	Os01g0871200	OsbHLH033	Zinc finger, C2H2-type domain containing protein	protein_coding	LOC4324940	4324940	Zinc finger, C2H2-type domain containing protein.	NA	NA	NA	NA	OsbHLH033, bHLH033, bHLH33, OsZFP, ZFP	basic helix-loop-helix protein 033, zinc finger protein	NA	NA	NA	zinc finger protein STOP1 homolog	GO:0003676, GO:0005634, GO:0046872, GO:0006355, GO:0010447, GO:0010044, GO:0005622, GO:0008270, GO:0006351, GO:0019048	nucleic acid binding, nucleus, metal ion binding, regulation of DNA-templated transcription, response to acidic pH, response to aluminum ion, intracellular anatomical structure, zinc ion binding, DNA-templated transcription, modulation by virus of host process
LOC_Os04g58390	2.9268704394706595	1.404241934665435e-26	Os04g0680400	OsALN	Allantoinase (EC:3.5.2.5), Ureide metabolism, Nitrogen molecular senso	protein_coding	LOC4337428	4337428	Allantoinase (EC:3.5.2.5), Ureide metabolism, Nitrogen molecular sensor	OsALN	ALLANTOINASE	ALN	ALLANTOINASE	OsALN	allantoin amidohydrolase, allantoinase	ALLANTOINASE	NA	NA	probable allantoinase	GO:0016810, GO:0004038, GO:0005737, GO:0010136, GO:0006995, GO:0005783, GO:0006145, GO:0016787, GO:0000256, GO:0006144, GO:0008270, GO:0050897	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, allantoinase activity, cytoplasm, ureide catabolic process, cellular response to nitrogen starvation, endoplasmic reticulum, purine nucleobase catabolic process, hydrolase activity, allantoin catabolic process, purine nucleobase metabolic process, zinc ion binding, cobalt ion binding
LOC_Os10g41930	1.3728384966547873	1.4171894065140577e-26	Os10g0568900	NA	Similar to Catalytic/ hydrolase	protein_coding	LOC4349443	4349443	Similar to Catalytic/ hydrolase.	NA	NA	NA	NA	NA	NA	NA	NA	NA	haloacid dehalogenase-like hydrolase domain-containing protein Sgpp	GO:0003824, GO:0008152	catalytic activity, metabolic process
LOC_Os11g03300	1.394974356936356	2.1232318978992053e-26	Os11g0126900	NAC122	NAC-domain protein, Drought toleranc	protein_coding	LOC4349648	4349648	NAC-domain protein, Drought tolerance	NAC122, OsNAC10, ONAC122, NAC122	NAC DOMAIN-CONTAINING PROTEIN 122, NAC domain-containing protein 10, NAC domain-containing protein 122	NAC122	NAC DOMAIN-CONTAINING PROTEIN 122	OsNAC10, NAC10, ONAC122, NAC122, OsSNAC10, SNAC10	NAC domain-containing protein 10, NAC domain-containing protein 122	NAC DOMAIN-CONTAINING PROTEIN 122	NA	NA	NAC transcription factor 29	GO:0003677, GO:0005634, GO:0003700, GO:0045893, GO:0006355, GO:0009635, GO:0009651, GO:0009751, GO:0051607	DNA binding, nucleus, DNA-binding transcription factor activity, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, response to herbicide, response to salt stress, response to salicylic acid, defense response to virus
LOC_Os05g45230	2.0404756394994847	4.1719844734062683e-26	Os05g0528500	OsWRKY58	Conserved hypothetical protein	protein_coding	LOC107278739	107278739	Conserved hypothetical protein.	NA	NA	WRKY58	WRKY GENE 58	OsWRKY58	Rice WRKY gene58	TRANSCRIPTION FACTOR WRKY58	NA	NA	probable WRKY transcription factor 24	GO:0003700, GO:0006952, GO:0009751, GO:0009863, GO:0042742, GO:0043565	DNA-binding transcription factor activity, defense response, response to salicylic acid, salicylic acid mediated signaling pathway, defense response to bacterium, sequence-specific DNA binding
LOC_Os05g42000	1.3746441798186146	6.48470188380498e-26	Os05g0499400	prx75	Haem peroxidase family protein	protein_coding	LOC4339223	4339223	Haem peroxidase family protein.	NA	NA	NA	NA	prx75	class III peroxidase 75	NA	NA	NA	peroxidase 1-like	GO:0042744, GO:0005576, GO:0098869, GO:0004601, GO:0009506, GO:0009505, GO:0046872, GO:0020037, GO:0006979, GO:0016491, GO:0140825, GO:0055114	NA
LOC_Os01g70200	0.7405331963910003	8.414263467972415e-26	Os01g0926700	OsIRX10	Similar to secondary cell wall-related glycosyltransferase family 47	protein_coding	LOC4327243	4327243	Similar to secondary cell wall-related glycosyltransferase family 47.	NA	NA	NA	NA	OsIRX10, OsIRX10L, IRX10L	rice ortholog of Arabidopsis IRX10, IRREGULAR XYLEM10	NA	NA	NA	probable glucuronosyltransferase Os01g0926700	GO:0016757, GO:0006486, GO:0005794, GO:0016020, GO:0000139, GO:0016021, GO:0045492	glycosyltransferase activity, protein glycosylation, Golgi apparatus, membrane, Golgi membrane, integral component of membrane, xylan biosynthetic process
LOC_Os06g10750	2.7643057814812866	2.718943357812774e-25	Os06g0210000	NA	Protein of unknown function DUF6 domain containing protein	protein_coding	LOC4340455	4340455	Protein of unknown function DUF6 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	WAT1-related protein At1g21890	GO:0022857, GO:0005886, GO:0016021, GO:0016020, GO:0055085	transmembrane transporter activity, plasma membrane, integral component of membrane, membrane, transmembrane transport
LOC_Os05g26840	1.0816626734554935	4.7163651466636905e-25	Os05g0332600	NA	Xanthine/uracil/vitamin C permease family protein	protein_coding	LOC4338446	4338446	Xanthine/uracil/vitamin C permease family protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	adenine/guanine permease AZG1	GO:0022857, GO:0055085, GO:0005345, GO:0005886, GO:0016021, GO:0015853, GO:0015854, GO:0016020, GO:0006863, GO:0015205, GO:1904823, GO:0005215, GO:0006810	transmembrane transporter activity, transmembrane transport, purine nucleobase transmembrane transporter activity, plasma membrane, integral component of membrane, adenine transport, guanine transport, membrane, purine nucleobase transport, nucleobase transmembrane transporter activity, purine nucleobase transmembrane transport, transporter activity, transport
LOC_Os05g26840	1.0816626734554935	4.7163651466636905e-25	Os05g0332600	NA	Xanthine/uracil/vitamin C permease family protein	protein_coding	LOC4338446	4338446	Similar to predicted protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	adenine/guanine permease AZG1	GO:0022857, GO:0055085, GO:0005345, GO:0005886, GO:0016021, GO:0015853, GO:0015854, GO:0016020, GO:0006863, GO:0015205, GO:1904823, GO:0005215, GO:0006810	transmembrane transporter activity, transmembrane transport, purine nucleobase transmembrane transporter activity, plasma membrane, integral component of membrane, adenine transport, guanine transport, membrane, purine nucleobase transport, nucleobase transmembrane transporter activity, purine nucleobase transmembrane transport, transporter activity, transport
LOC_Os05g32420	1.5739266668530627	7.3382544169998215e-25	Os05g0390300	NA	Conserved hypothetical protein	protein_coding	NA	NA	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC_Os01g71010	0.8390367675034309	8.273265607281598e-25	Os01g0936200	NA	Lipase, class 3 family protein	protein_coding	LOC4326524	4326524	Lipase, class 3 family protein.	NA	NA	NA	NA	NA	Lipase class 3 family protein	NA	NA	NA	probable feruloyl esterase A	GO:0006629, GO:0016787, GO:0004806, GO:0009566	lipid metabolic process, hydrolase activity, triglyceride lipase activity, fertilization
LOC_Os11g14380	2.2981448856250526	8.273265607281598e-25	Os11g0249000	NA	NB-ARC domain containing protein	protein_coding	LOC4350204	4350204	NB-ARC domain containing protein.	NA	NA	NLS1	NECROTIC LEAF SHEATH 1	OsNLS1	necrotic leaf sheath 1	NA	NA	NA	disease resistance protein RGA5-like	GO:0043531, GO:0006952, GO:0051707, GO:0009863, GO:0031348, GO:0042742	ADP binding, defense response, response to other organism, salicylic acid mediated signaling pathway, negative regulation of defense response, defense response to bacterium
LOC_Os01g06230	2.3674126817700234	8.679310407052117e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC_Os09g39910	1.34997690293483	9.33737751825252e-25	Os09g0572400	OsABCF5	Similar to Abcf2-prov protein	protein_coding	LOC4347924	4347924	Similar to Abcf2-prov protein.	NA	NA	ABCF5	ABC TRANSPORTER F FAMILY MEMBER 5	OsABCF5, OsABCF5_1, OsABCF5_2, OsABCF5_3	ABC transporter superfamily ABCF subgroup member 5	ABC TRANSPORTER F FAMILY MEMBER 5	NA	NA	ABC transporter F family member 1	GO:0016887, GO:0005524, GO:0000166, GO:0017111, GO:0005886, GO:0006200	NA
LOC_Os01g61440	1.2754958210161003	9.513808704517394e-25	Os01g0830500	Os2OG-Fe	2OG-Fe(II) oxygenase domain containing protein	protein_coding	LOC4327429	4327429	2OG-Fe(II) oxygenase domain containing protein.	NA	NA	NA	NA	Os2OG-Fe (II) oxy, 2OG-Fe (II) oxy	2OG-Fe (II) oxygenase domain containing protein, 2OG-Fe (II) oxygenase family protein	NA	NA	NA	uncharacterized LOC4327429	GO:0051213, GO:0006950	dioxygenase activity, response to stress
LOC_Os04g37550	1.1997988348688697	9.587180895282846e-25	Os04g0448300	NA	Peptidase A1 domain containing protein	protein_coding	LOC4335980	4335980	Peptidase A1 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	aspartic proteinase nepenthesin-1	GO:0008233, GO:0004190, GO:0006508, GO:0030163, GO:0016787, GO:0005576	peptidase activity, aspartic-type endopeptidase activity, proteolysis, protein catabolic process, hydrolase activity, extracellular region
LOC_Os04g28210	1.119509163082481	3.4366031205186445e-24	Os04g0349700	NA	Leucine-rich repeat, typical subtype containing protein	protein_coding	LOC4335549	4335549	Leucine-rich repeat, typical subtype containing protein.	NA	NA	VWR	VERTICILLIUM WILT RESISTANCE	OsVWR	Verticillium wilt resistance, Verticillium wilt resistance protein	NA	NA	NA	receptor-like protein 7	GO:0016021, GO:0016020, GO:0005515, GO:0002213	integral component of membrane, membrane, protein binding, defense response to insect
LOC_Os10g33350	1.3744058190762773	5.97340710890468e-24	Os10g0472400	NA	Similar to Thioredoxin	protein_coding	LOC4348873	4348873	Similar to Thioredoxin.	NA	NA	NA	NA	NA	NA	NA	NA	NA	desumoylating isopeptidase 1	GO:0008233, GO:0070646	peptidase activity, protein modification by small protein removal
LOC_Os07g39530	1.233800898315949	1.0704677035805537e-23	Os07g0584200	NA	BTB/POZ fold domain containing protein	protein_coding	LOC4343739	4343739	BTB/POZ fold domain containing protein.	NA	NA	NA	NA	OsBTBN16	BTB-type E3 ubiquitin ligase N16	NA	NA	NA	BTB/POZ domain-containing protein At5g48130	GO:0016567, GO:0004871, GO:0009416	NA
LOC_Os03g18140	0.8482718239370547	1.0788695609135402e-23	Os03g0291800	OsTBL15	Similar to ESK1 (ESKIMO 1)	protein_coding	LOC4332508	4332508	Similar to ESK1 (ESKIMO 1).	NA	NA	XOAT6	XYLAN O-ACETYLTRANSFERASE 6	OsTBL15, TBL15, OsXOAT6	trichome birefringence-like 15, xylan O-acetyltransferase 6	XYLAN O-ACETYLTRANSFERASE 6	NA	NA	protein trichome birefringence-like 28	GO:0016413, GO:0016740, GO:0016020, GO:0016021, GO:0005794, GO:0000139, GO:1990538, GO:1990937, GO:0050826	O-acetyltransferase activity, transferase activity, membrane, integral component of membrane, Golgi apparatus, Golgi membrane, xylan O-acetyltransferase activity, xylan acetylation, response to freezing
LOC_Os03g18140	0.8482718239370547	1.0788695609135402e-23	Os03g0291800	OsTBL15	Similar to ESK1 (ESKIMO 1)	protein_coding	LOC4332508	4332508	Similar to predicted protein.	NA	NA	XOAT6	XYLAN O-ACETYLTRANSFERASE 6	OsTBL15, TBL15, OsXOAT6	trichome birefringence-like 15, xylan O-acetyltransferase 6	XYLAN O-ACETYLTRANSFERASE 6	NA	NA	protein trichome birefringence-like 28	GO:0016413, GO:0016740, GO:0016020, GO:0016021, GO:0005794, GO:0000139, GO:1990538, GO:1990937, GO:0050826	O-acetyltransferase activity, transferase activity, membrane, integral component of membrane, Golgi apparatus, Golgi membrane, xylan O-acetyltransferase activity, xylan acetylation, response to freezing
LOC_Os11g04550	2.4123632528190186	1.2151272328218965e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC_Os04g56570	1.9713296940982188	1.247185155701191e-23	Os04g0661100	NA	Similar to H0112G12.8 protein	protein_coding	LOC107277463	107277463	Similar to H0112G12.8 protein.	NA	NA	HIPP22	HEAVY-METAL-ASSOCIATED ISOPRENYLATED PLANT PROTEIN 22	OsHMP29, HMP29, OsHIPP22, OsaHIP22, HIP22	Heavy metal-associated protein 29, heavy-metal-associated isoprenylated plant protein 22	HEAVY-METAL-ASSOCIATED ISOPRENYLATED PLANT PROTEIN 22	Heavy metal-associated domain containing protein	Medtr5g020960, (ref.23) Medicago homolog	heavy metal-associated isoprenylated plant protein 43	GO:0030001, GO:0046872, GO:0005634	metal ion transport, metal ion binding, nucleus
LOC_Os02g32009	0.8547717650658591	1.343141670681969e-23	Os02g0519700	NA	Conserved hypothetical protein	protein_coding	NA	NA	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GO:0016021, GO:0016020	integral component of membrane, membrane
LOC_Os10g27330	1.3384634146418233	2.071574219076466e-23	Os10g0413400	GPAT	Similar to Glycerol-3-phosphate acyltransferase 6 (EC 2.3.1.15) (AtGPAT6)	protein_coding	LOC4348614	4348614	Orthologs of legume RAM2, Glycerol-3-phosphate acyl transferase (GPAT)	OsRAM2L	Required for Arbuscular Mycorrhization2 like	NA	NA	GPAT, OsRAM2L	glycerol-3-phosphate acyltransferase, Required for Arbuscular Mycorrhization2-like	NA	Glycerol-3-phosphate acyltransferase	Medtr1g040500, RAM2, (ref.23) Medicago homolog	glycerol-3-phosphate 2-O-acyltransferase 6	GO:0016791, GO:0016021, GO:0016020, GO:0010143, GO:0090447, GO:0016746, GO:0008152, GO:0016311	phosphatase activity, integral component of membrane, membrane, cutin biosynthetic process, glycerol-3-phosphate 2-O-acyltransferase activity, acyltransferase activity, metabolic process, dephosphorylation
LOC_Os06g48000	4.60604328575826	2.6334247599556465e-23	Os06g0695200	prx93	Similar to Peroxidase precursor (EC 1.11.1.7)	protein_coding	LOC4341932	4341932	Similar to Peroxidase precursor (EC 1.11.1.7).	NA	NA	NA	NA	prx93	class III peroxidase 93	NA	NA	NA	peroxidase 16	GO:0042744, GO:0005576, GO:0098869, GO:0004601, GO:0046872, GO:0020037, GO:0006979, GO:0016491, GO:0140825, GO:0055114	NA
LOC_Os06g42850	1.2200241969178776	3.289165918785324e-23	Os06g0635200	NA	Protein of unknown function DUF3537 domain containing protein	protein_coding	LOC4341599	4341599	Protein of unknown function DUF3537 domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4341599	GO:0016021, GO:0016020	integral component of membrane, membrane
LOC_Os05g27790	1.4799009720924172	4.304189916745104e-23	Os05g0344400	NA	Uncharacterised protein family UPF0497, trans-membrane plant domain containing protein	protein_coding	LOC4338478	4338478	Uncharacterised protein family UPF0497, trans-membrane plant domain containing protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASP-like protein 4B4	GO:0005886, GO:0016021, GO:0051539, GO:0016020	plasma membrane, integral component of membrane, 4 iron, 4 sulfur cluster binding, membrane
LOC_Os02g09610	1.2659671601838995	4.398878089827968e-23	Os02g0189200	OsGELP31	Lipase, GDSL domain containing protein	protein_coding	LOC4328560	4328560	Lipase, GDSL domain containing protein.	NA	NA	GELP31	GDSL ESTERASE/LIPASE PROTEIN 31	OsGELP31	GDSL esterase/lipase protein 31	GDSL ESTERASE/LIPASE PROTEIN 31	NA	NA	GDSL esterase/lipase At2g04570	GO:0016788, GO:0006629	hydrolase activity, acting on ester bonds, lipid metabolic process
LOC_Os04g42720	1.2645270680613605	5.36145603358869e-23	Os04g0506300	NA	TMS membrane protein/tumour differentially expressed protein family protein	protein_coding	LOC4336342	4336342	TMS membrane protein/tumour differentially expressed protein family protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable serine incorporator	GO:0016021, GO:0016020	integral component of membrane, membrane
LOC_Os01g50450	0.7534229521096713	6.464954159557212e-23	Os01g0700000	NA	Conserved hypothetical protein	protein_coding	LOC4326922	4326922	Conserved hypothetical protein.	NA	NA	NA	NA	NA	NA	NA	NA	NA	uncharacterized LOC4326922	NA	NA
LOC_Os04g50770	1.4196696574563312	9.18492774435115e-23	Os04g0594100	OsMYB58/63	MYB transcription factor, Regulation of cellulose biosynthesis during secondary cell wall formatio	protein_coding	LOC4336841	4336841	MYB transcription factor, Regulation of cellulose biosynthesis during secondary cell wall formation	OsMYB58/63	myb transcription factor 58/63, transcription factor MYB58/63	NA	NA	OsMYB58/63, OsMYB58, OsMYB63, MYB58/63, MYB58, MYB63, OsMYB58/63b, MYB58/63b, Os2R_MYB51, 2R_MYB51	myb transcription factor 58/63, transcription factor MYB58/63, R2R3-MYB Transcription Factor 51	NA	NA	NA	myb-related protein Zm1	GO:0043565, GO:0044212, GO:0030154, GO:0005634, GO:0003677, GO:0003682, GO:0009414, GO:0046686	NA
LOC_Os12g18110	0.7012842830007672	9.97717210786667e-23	Os12g0278700	NA	Similar to cystinosin	protein_coding	LOC4351977	4351977	Similar to cystinosin.	NA	NA	NA	NA	NA	NA	NA	NA	NA	cystinosin homolog	GO:0016021, GO:0016020, GO:0005774, GO:0015184, GO:0015811, GO:0010038, GO:0010288, GO:0046689	integral component of membrane, membrane, vacuolar membrane, L-cystine transmembrane transporter activity, L-cystine transport, response to metal ion, response to lead ion, response to mercury ion
LOC_Os12g18110	0.7012842830007672	9.97717210786667e-23	Os12g0278700	NA	Similar to cystinosin	protein_coding	LOC4351977	4351977	Similar to Cystinosin homolog.	NA	NA	NA	NA	NA	NA	NA	NA	NA	cystinosin homolog	GO:0016021, GO:0016020, GO:0005774, GO:0015184, GO:0015811, GO:0010038, GO:0010288, GO:0046689	integral component of membrane, membrane, vacuolar membrane, L-cystine transmembrane transporter activity, L-cystine transport, response to metal ion, response to lead ion, response to mercury ion
